iteration,best_score,best_thresholds,pop_min,pop_max,pop_mean,pop_std,time_ms,a,pop_size
0,6.495171531155765,"[25, 82, 117, 124, 171, 180, 215]",-1000000.0,6.495171531155765,-699998.1304711475,458260.4252480988,20.481109619140625,2.0,100
1,6.539993028229745,"[25, 84, 120, 127, 171, 182, 220]",-1000000.0,6.539993028229745,-599997.4516547377,489901.06962943554,25.058269500732422,1.975,100
2,6.539993028229745,"[25, 84, 120, 127, 171, 182, 220]",-1000000.0,6.532436466933389,-719998.2054063283,449001.76416488184,23.60391616821289,1.95,100
3,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-689997.998366459,462496.2294583681,20.946025848388672,1.925,100
4,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-669997.8824932122,470215.73502830387,20.68352699279785,1.9,100
5,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-609997.5006917567,487753.0616673209,27.73118019104004,1.875,100
6,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-569997.2420893675,495078.9270694287,23.659229278564453,1.85,100
7,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-599997.4353981132,489901.08953965426,18.039464950561523,1.825,100
8,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-669997.8867465642,470215.72896776337,22.39251136779785,1.8,100
9,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-739998.3401224152,438637.04429365305,19.265174865722656,1.775,100
10,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-649997.768025743,476972.64237668656,21.178722381591797,1.75,100
11,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-669997.8901520463,470215.7241153389,20.566940307617188,1.725,100
12,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-709998.1416535829,453764.95993010816,20.820140838623047,1.7,100
13,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.539993028229745,-589997.3589656025,491836.4732618272,27.280330657958984,1.675,100
