algo,thresholds,fe,time,opt_iters,K,psnr,ssim,dice
mfwoa_K2,"153,206",3.0155290371743035,9.8188,75,2,17.68186151650343,0.543352127373012,0.679481745386228
woa_K2,"153,206",3.0155290371743035,10.8458,75,2,17.68186151650343,0.543352127373012,0.679481745386228
mfwoa_K3,"22,85,210",3.758181549853435,9.723,75,3,19.94271779283064,0.6348029756238214,0.3605844576312011
woa_K3,"151,182,219",3.7148894676225694,11.2782,75,3,17.80316140291025,0.5531757530908517,0.6982710918884736
mfwoa_K4,"50,129,180,214",4.455863077924162,11.0929,75,4,23.11601849018359,0.6752471771649154,0.43895751778343056
woa_K4,"21,92,159,204",4.450851498464096,10.5335,75,4,23.147023062111796,0.6558679638354361,0.36054723909494113
mfwoa_K5,"23,84,129,160,205",5.199548173103291,9.9432,75,5,25.20259217896351,0.7060067293536842,0.36063183779200914
woa_K5,"22,83,104,151,204",5.193757839660676,10.974,75,5,25.350776863261466,0.7179295209383529,0.3605844576312011
mfwoa_K6,"50,77,128,167,198,226",5.902852983878956,6.7159,50,6,27.462193862390464,0.7642173431960986,0.43895751778343056
woa_K6,"24,77,86,127,178,219",5.865666798961751,7.5841,50,6,25.803571426494095,0.7215547963311412,0.36069503071189646
mfwoa_K7,"50,79,130,151,168,201,223",6.601210732046517,7.6301,50,7,28.071326293336547,0.7837573392552906,0.43895751778343056
woa_K7,"23,82,129,150,171,196,225",6.648148761429765,7.5596,50,7,25.622932619499778,0.7248704666926392,0.36063183779200914
mfwoa_K8,"50,73,98,117,142,159,178,221",7.2623609234126585,4.757,30,8,32.05326380048114,0.839336991695484,0.43895751778343056
woa_K8,"50,81,128,147,168,177,198,225",7.284919341127138,5.1554,30,8,28.72395457155971,0.7957684977887634,0.43895751778343056
mfwoa_K9,"50,73,94,109,130,153,184,209,225",7.98544270398872,4.9322,30,9,32.50497422484304,0.8503965357922468,0.43895751778343056
woa_K9,"25,79,108,145,160,173,182,205,226",7.990447546470785,5.1143,30,9,26.730591139412955,0.7526604924271973,0.3608113183923876
mfwoa_K10,"49,64,79,104,152,167,184,197,211,226",8.687833948900586,4.9547,30,10,29.572275450650945,0.8300794714832762,0.43666779048492127
woa_K10,"48,79,104,131,140,157,182,199,209,226",8.649386479754188,5.425,30,10,31.515148605981004,0.8339814181202834,0.4342807197323608
