algo,thresholds,fe,time,opt_iters,K,psnr,ssim,dice
mfwoa_K2,"31,58",2.6613999748491084,1.7244,75,2,15.254310053357806,0.38154816451308066,0.41540352314625156
woa_K2,"23,54",2.660890478164964,10.3429,75,2,15.165438533828876,0.36321984990168105,0.4107757747620012
mfwoa_K3,"23,46,67",3.2633513819583904,1.7244,75,3,15.590079160327159,0.4506456404209106,0.4107757747620012
woa_K3,"33,76,214",3.321207946609491,11.1455,75,3,20.03368664642816,0.5658181527168711,0.41654114747364096
mfwoa_K4,"47,84,199,232",3.9395008320668143,1.7244,75,4,21.98986099425017,0.6581162062896533,0.426110099453705
woa_K4,"33,138,179,216",3.991900476668486,11.2545,75,4,21.39095978174408,0.5641202805105581,0.41654114747364096
mfwoa_K5,"31,80,137,180,216",4.6313069002211975,1.7244,75,5,25.52629056701217,0.7522205001330541,0.41540352314625156
woa_K5,"23,76,137,180,216",4.625764715399746,11.7647,75,5,25.00843963020298,0.7302398792240201,0.4107757747620012
mfwoa_K6,"31,78,133,166,201,230",5.305865221285873,1.7244,75,6,26.020205317052564,0.7691474336044934,0.41540352314625156
woa_K6,"21,54,85,136,177,216",5.309419004678336,9.4857,50,6,26.682097341912012,0.8030130603066431,0.40961421934962633
mfwoa_K7,"30,59,106,139,164,189,216",5.979876317419634,1.7244,75,7,27.38206414070389,0.8528658046567714,0.41494313628535867
woa_K7,"19,49,84,131,158,187,216",6.0008118175785174,9.685,50,7,27.30986260037453,0.8252273715905645,0.40821940786714755
mfwoa_K8,"31,62,91,122,153,178,213,236",6.661539947815618,1.7244,75,8,29.45965216889055,0.8920279935095912,0.41540352314625156
woa_K8,"19,47,76,105,138,165,201,234",6.684411032146707,5.824,30,8,29.675719698664356,0.8947983323640687,0.40821940786714755
mfwoa_K9,"19,37,58,85,130,155,174,201,224",7.33909009425782,1.7244,75,9,28.219993468739748,0.8496037071212077,0.40821940786714755
woa_K9,"19,46,75,98,121,150,180,205,232",7.352137079694634,6.2815,30,9,30.990533938937336,0.9210764740015154,0.40821940786714755
mfwoa_K10,"19,36,59,86,129,154,173,196,219,236",8.013846397879803,1.7244,75,10,28.72241890344568,0.8622173097980483,0.40821940786714755
woa_K10,"15,42,67,86,111,130,151,176,205,236",8.03011893961545,6.1479,30,10,31.80782063221185,0.9327624207810423,0.4055729618025465
