algo,thresholds,fe,time,opt_iters,K,psnr,ssim,dice
mfwoa_K2,"153,206",3.0155290371743035,10.4123,75,2,17.68186151650343,0.543352127373012,0.679481745386228
woa_K2,"153,206",3.0155290371743035,9.3934,75,2,17.68186151650343,0.543352127373012,0.679481745386228
mfwoa_K3,"153,200,226",3.7150338343350455,8.5646,75,3,17.692436969359274,0.5442433444306057,0.679481745386228
woa_K3,"151,182,219",3.7148894676225694,9.6151,75,3,17.80316140291025,0.5531757530908517,0.6982710918884736
mfwoa_K4,"50,129,178,221",4.459361925363509,9.4441,75,4,23.15731813033205,0.6764054471312541,0.43895751778343056
woa_K4,"51,130,159,204",4.457213941855166,10.5955,75,4,23.470104406205223,0.6917791924921738,0.44133558457668587
mfwoa_K5,"51,130,167,200,224",5.181581173718598,10.0212,75,5,23.438792750954605,0.6883990653678348,0.44133558457668587
woa_K5,"51,130,159,200,226",5.185096380394093,10.9285,75,5,23.492419283053657,0.6925243895184893,0.44133558457668587
mfwoa_K6,"49,78,129,156,173,224",5.867438312129187,7.2983,50,6,27.953088703058896,0.7803986584079212,0.43666779048492127
woa_K6,"23,82,103,152,183,218",5.939035599863441,7.4007,50,6,25.655422826741486,0.7268980047169978,0.36063183779200914
mfwoa_K7,"49,62,103,150,183,206,226",6.610681475166476,7.2697,50,7,27.8861396740987,0.7798085129424043,0.43666779048492127
woa_K7,"49,68,85,102,153,182,219",6.590773853572621,8.4735,50,7,29.016355104770547,0.8212205278843514,0.43666779048492127
mfwoa_K8,"50,75,100,117,142,165,198,220",7.28008104715647,5.2967,30,8,31.653512977150644,0.8328745961581512,0.43895751778343056
woa_K8,"49,76,105,130,157,182,207,226",7.316812455231122,5.2653,30,8,31.178043018789,0.8231042154701848,0.43666779048492127
mfwoa_K9,"50,65,82,105,150,169,188,207,226",8.026226366248068,5.053,30,9,29.947837740198477,0.8313901078184932,0.43895751778343056
woa_K9,"49,66,77,106,147,166,179,198,225",7.9907552849612395,5.3876,30,9,30.148876146887062,0.8301944649193352,0.43666779048492127
mfwoa_K10,"22,86,109,142,153,162,173,186,209,225",8.641328476544357,4.8599,30,10,25.90189741401039,0.7428998525375424,0.3605844576312011
woa_K10,"49,70,107,130,149,164,181,190,205,226",8.654255472295947,6.0301,30,10,30.8457146842148,0.823922258551447,0.43666779048492127
