algo,thresholds,fe,time,opt_iters,K,psnr,ssim,fsim,hist_data
otsu_K2,"73,170",1.7802160199196684,0.0617,10,2,20.628931780604614,0.6049932021492754,0.9246750274106401,"[78167, 2542, 1537, 1382, 1315, 1228, 1194, 1360, 1431, 1473, 1313, 1266, 1335, 1342, 1349, 1310, 1263, 1216, 1260, 1122, 1126, 1121, 1233, 1125, 1095, 1193, 1145, 1177, 1243, 1290, 1322, 1451, 1467, 1436, 1488, 1511, 1484, 1539, 1644, 1700, 1738, 1816, 1896, 1815, 1840, 1995, 2066, 2135, 2160, 2179, 2353, 2475, 2607, 2739, 2832, 2925, 3081, 3133, 3344, 3422, 3321, 3539, 3556, 3670, 3636, 3816, 3651, 3663, 3845, 3797, 3742, 3940, 3757, 3965, 4135, 4221, 4154, 4123, 4382, 4480, 4495, 4451, 4322, 4317, 4176, 4015, 4059, 4052, 4127, 4015, 4165, 4071, 4237, 4211, 4368, 4379, 4488, 4431, 4483, 4631, 4661, 4702, 4844, 4905, 4983, 4867, 5082, 5241, 5268, 5503, 5545, 5634, 5723, 5986, 6186, 6127, 6530, 6460, 6637, 6878, 6998, 7020, 7142, 7132, 7351, 7393, 7408, 7513, 7454, 7815, 7693, 8102, 8034, 8113, 8125, 8008, 7980, 7980, 7979, 8053, 7891, 7820, 7802, 7672, 7900, 7776, 7640, 7851, 7806, 7910, 7752, 7762, 7680, 7702, 7401, 7429, 7504, 7298, 7341, 7485, 7450, 7341, 7471, 7467, 7555, 7621, 7593, 7679, 7902, 7902, 8041, 8137, 7962, 8159, 8253, 8149, 8315, 8380, 8517, 8542, 8328, 8697, 8587, 8451, 8609, 8640, 8694, 8596, 8502, 8544, 8530, 8372, 8176, 8142, 7856, 7870, 7660, 7592, 7275, 7057, 7096, 6824, 6698, 6638, 6482, 6091, 6026, 5424, 4949, 4575, 4090, 3632, 3190, 2561, 2230, 1915, 1497, 1367, 1090, 921, 752, 687, 543, 493, 403, 361, 314, 284, 250, 202, 161, 172, 142, 124, 102, 104, 103, 85, 91, 90, 64, 84, 72, 60, 64, 84, 52, 50, 57, 58, 56, 64, 92, 86, 117, 274]"
mfwoa_K2,"94,221",1.8613019172746101,0.2975,10,2,17.838593619478267,0.6241712159454458,0.9264851231612188,"[78167, 2542, 1537, 1382, 1315, 1228, 1194, 1360, 1431, 1473, 1313, 1266, 1335, 1342, 1349, 1310, 1263, 1216, 1260, 1122, 1126, 1121, 1233, 1125, 1095, 1193, 1145, 1177, 1243, 1290, 1322, 1451, 1467, 1436, 1488, 1511, 1484, 1539, 1644, 1700, 1738, 1816, 1896, 1815, 1840, 1995, 2066, 2135, 2160, 2179, 2353, 2475, 2607, 2739, 2832, 2925, 3081, 3133, 3344, 3422, 3321, 3539, 3556, 3670, 3636, 3816, 3651, 3663, 3845, 3797, 3742, 3940, 3757, 3965, 4135, 4221, 4154, 4123, 4382, 4480, 4495, 4451, 4322, 4317, 4176, 4015, 4059, 4052, 4127, 4015, 4165, 4071, 4237, 4211, 4368, 4379, 4488, 4431, 4483, 4631, 4661, 4702, 4844, 4905, 4983, 4867, 5082, 5241, 5268, 5503, 5545, 5634, 5723, 5986, 6186, 6127, 6530, 6460, 6637, 6878, 6998, 7020, 7142, 7132, 7351, 7393, 7408, 7513, 7454, 7815, 7693, 8102, 8034, 8113, 8125, 8008, 7980, 7980, 7979, 8053, 7891, 7820, 7802, 7672, 7900, 7776, 7640, 7851, 7806, 7910, 7752, 7762, 7680, 7702, 7401, 7429, 7504, 7298, 7341, 7485, 7450, 7341, 7471, 7467, 7555, 7621, 7593, 7679, 7902, 7902, 8041, 8137, 7962, 8159, 8253, 8149, 8315, 8380, 8517, 8542, 8328, 8697, 8587, 8451, 8609, 8640, 8694, 8596, 8502, 8544, 8530, 8372, 8176, 8142, 7856, 7870, 7660, 7592, 7275, 7057, 7096, 6824, 6698, 6638, 6482, 6091, 6026, 5424, 4949, 4575, 4090, 3632, 3190, 2561, 2230, 1915, 1497, 1367, 1090, 921, 752, 687, 543, 493, 403, 361, 314, 284, 250, 202, 161, 172, 142, 124, 102, 104, 103, 85, 91, 90, 64, 84, 72, 60, 64, 84, 52, 50, 57, 58, 56, 64, 92, 86, 117, 274]"
woa_K2,"56,225",1.7746569529181473,0.0133,10,2,16.19738493221034,0.618594661160419,0.9414526714810586,"[78167, 2542, 1537, 1382, 1315, 1228, 1194, 1360, 1431, 1473, 1313, 1266, 1335, 1342, 1349, 1310, 1263, 1216, 1260, 1122, 1126, 1121, 1233, 1125, 1095, 1193, 1145, 1177, 1243, 1290, 1322, 1451, 1467, 1436, 1488, 1511, 1484, 1539, 1644, 1700, 1738, 1816, 1896, 1815, 1840, 1995, 2066, 2135, 2160, 2179, 2353, 2475, 2607, 2739, 2832, 2925, 3081, 3133, 3344, 3422, 3321, 3539, 3556, 3670, 3636, 3816, 3651, 3663, 3845, 3797, 3742, 3940, 3757, 3965, 4135, 4221, 4154, 4123, 4382, 4480, 4495, 4451, 4322, 4317, 4176, 4015, 4059, 4052, 4127, 4015, 4165, 4071, 4237, 4211, 4368, 4379, 4488, 4431, 4483, 4631, 4661, 4702, 4844, 4905, 4983, 4867, 5082, 5241, 5268, 5503, 5545, 5634, 5723, 5986, 6186, 6127, 6530, 6460, 6637, 6878, 6998, 7020, 7142, 7132, 7351, 7393, 7408, 7513, 7454, 7815, 7693, 8102, 8034, 8113, 8125, 8008, 7980, 7980, 7979, 8053, 7891, 7820, 7802, 7672, 7900, 7776, 7640, 7851, 7806, 7910, 7752, 7762, 7680, 7702, 7401, 7429, 7504, 7298, 7341, 7485, 7450, 7341, 7471, 7467, 7555, 7621, 7593, 7679, 7902, 7902, 8041, 8137, 7962, 8159, 8253, 8149, 8315, 8380, 8517, 8542, 8328, 8697, 8587, 8451, 8609, 8640, 8694, 8596, 8502, 8544, 8530, 8372, 8176, 8142, 7856, 7870, 7660, 7592, 7275, 7057, 7096, 6824, 6698, 6638, 6482, 6091, 6026, 5424, 4949, 4575, 4090, 3632, 3190, 2561, 2230, 1915, 1497, 1367, 1090, 921, 752, 687, 543, 493, 403, 361, 314, 284, 250, 202, 161, 172, 142, 124, 102, 104, 103, 85, 91, 90, 64, 84, 72, 60, 64, 84, 52, 50, 57, 58, 56, 64, 92, 86, 117, 274]"
pso_K2,"48,167",1.7897753231063345,0.0133,10,2,14.364461097078646,0.5946862434547636,0.7530016054435212,"[78167, 2542, 1537, 1382, 1315, 1228, 1194, 1360, 1431, 1473, 1313, 1266, 1335, 1342, 1349, 1310, 1263, 1216, 1260, 1122, 1126, 1121, 1233, 1125, 1095, 1193, 1145, 1177, 1243, 1290, 1322, 1451, 1467, 1436, 1488, 1511, 1484, 1539, 1644, 1700, 1738, 1816, 1896, 1815, 1840, 1995, 2066, 2135, 2160, 2179, 2353, 2475, 2607, 2739, 2832, 2925, 3081, 3133, 3344, 3422, 3321, 3539, 3556, 3670, 3636, 3816, 3651, 3663, 3845, 3797, 3742, 3940, 3757, 3965, 4135, 4221, 4154, 4123, 4382, 4480, 4495, 4451, 4322, 4317, 4176, 4015, 4059, 4052, 4127, 4015, 4165, 4071, 4237, 4211, 4368, 4379, 4488, 4431, 4483, 4631, 4661, 4702, 4844, 4905, 4983, 4867, 5082, 5241, 5268, 5503, 5545, 5634, 5723, 5986, 6186, 6127, 6530, 6460, 6637, 6878, 6998, 7020, 7142, 7132, 7351, 7393, 7408, 7513, 7454, 7815, 7693, 8102, 8034, 8113, 8125, 8008, 7980, 7980, 7979, 8053, 7891, 7820, 7802, 7672, 7900, 7776, 7640, 7851, 7806, 7910, 7752, 7762, 7680, 7702, 7401, 7429, 7504, 7298, 7341, 7485, 7450, 7341, 7471, 7467, 7555, 7621, 7593, 7679, 7902, 7902, 8041, 8137, 7962, 8159, 8253, 8149, 8315, 8380, 8517, 8542, 8328, 8697, 8587, 8451, 8609, 8640, 8694, 8596, 8502, 8544, 8530, 8372, 8176, 8142, 7856, 7870, 7660, 7592, 7275, 7057, 7096, 6824, 6698, 6638, 6482, 6091, 6026, 5424, 4949, 4575, 4090, 3632, 3190, 2561, 2230, 1915, 1497, 1367, 1090, 921, 752, 687, 543, 493, 403, 361, 314, 284, 250, 202, 161, 172, 142, 124, 102, 104, 103, 85, 91, 90, 64, 84, 72, 60, 64, 84, 52, 50, 57, 58, 56, 64, 92, 86, 117, 274]"
otsu_K3,"46,108,191",2.45562063681621,0.0724,10,3,14.996177603027963,0.5772015489578749,0.7909010825361481,"[78167, 2542, 1537, 1382, 1315, 1228, 1194, 1360, 1431, 1473, 1313, 1266, 1335, 1342, 1349, 1310, 1263, 1216, 1260, 1122, 1126, 1121, 1233, 1125, 1095, 1193, 1145, 1177, 1243, 1290, 1322, 1451, 1467, 1436, 1488, 1511, 1484, 1539, 1644, 1700, 1738, 1816, 1896, 1815, 1840, 1995, 2066, 2135, 2160, 2179, 2353, 2475, 2607, 2739, 2832, 2925, 3081, 3133, 3344, 3422, 3321, 3539, 3556, 3670, 3636, 3816, 3651, 3663, 3845, 3797, 3742, 3940, 3757, 3965, 4135, 4221, 4154, 4123, 4382, 4480, 4495, 4451, 4322, 4317, 4176, 4015, 4059, 4052, 4127, 4015, 4165, 4071, 4237, 4211, 4368, 4379, 4488, 4431, 4483, 4631, 4661, 4702, 4844, 4905, 4983, 4867, 5082, 5241, 5268, 5503, 5545, 5634, 5723, 5986, 6186, 6127, 6530, 6460, 6637, 6878, 6998, 7020, 7142, 7132, 7351, 7393, 7408, 7513, 7454, 7815, 7693, 8102, 8034, 8113, 8125, 8008, 7980, 7980, 7979, 8053, 7891, 7820, 7802, 7672, 7900, 7776, 7640, 7851, 7806, 7910, 7752, 7762, 7680, 7702, 7401, 7429, 7504, 7298, 7341, 7485, 7450, 7341, 7471, 7467, 7555, 7621, 7593, 7679, 7902, 7902, 8041, 8137, 7962, 8159, 8253, 8149, 8315, 8380, 8517, 8542, 8328, 8697, 8587, 8451, 8609, 8640, 8694, 8596, 8502, 8544, 8530, 8372, 8176, 8142, 7856, 7870, 7660, 7592, 7275, 7057, 7096, 6824, 6698, 6638, 6482, 6091, 6026, 5424, 4949, 4575, 4090, 3632, 3190, 2561, 2230, 1915, 1497, 1367, 1090, 921, 752, 687, 543, 493, 403, 361, 314, 284, 250, 202, 161, 172, 142, 124, 102, 104, 103, 85, 91, 90, 64, 84, 72, 60, 64, 84, 52, 50, 57, 58, 56, 64, 92, 86, 117, 274]"
mfwoa_K3,"48,105,218",2.512127309280194,0.2975,10,3,14.417691360037095,0.5927707511018486,0.8416712099518989,"[78167, 2542, 1537, 1382, 1315, 1228, 1194, 1360, 1431, 1473, 1313, 1266, 1335, 1342, 1349, 1310, 1263, 1216, 1260, 1122, 1126, 1121, 1233, 1125, 1095, 1193, 1145, 1177, 1243, 1290, 1322, 1451, 1467, 1436, 1488, 1511, 1484, 1539, 1644, 1700, 1738, 1816, 1896, 1815, 1840, 1995, 2066, 2135, 2160, 2179, 2353, 2475, 2607, 2739, 2832, 2925, 3081, 3133, 3344, 3422, 3321, 3539, 3556, 3670, 3636, 3816, 3651, 3663, 3845, 3797, 3742, 3940, 3757, 3965, 4135, 4221, 4154, 4123, 4382, 4480, 4495, 4451, 4322, 4317, 4176, 4015, 4059, 4052, 4127, 4015, 4165, 4071, 4237, 4211, 4368, 4379, 4488, 4431, 4483, 4631, 4661, 4702, 4844, 4905, 4983, 4867, 5082, 5241, 5268, 5503, 5545, 5634, 5723, 5986, 6186, 6127, 6530, 6460, 6637, 6878, 6998, 7020, 7142, 7132, 7351, 7393, 7408, 7513, 7454, 7815, 7693, 8102, 8034, 8113, 8125, 8008, 7980, 7980, 7979, 8053, 7891, 7820, 7802, 7672, 7900, 7776, 7640, 7851, 7806, 7910, 7752, 7762, 7680, 7702, 7401, 7429, 7504, 7298, 7341, 7485, 7450, 7341, 7471, 7467, 7555, 7621, 7593, 7679, 7902, 7902, 8041, 8137, 7962, 8159, 8253, 8149, 8315, 8380, 8517, 8542, 8328, 8697, 8587, 8451, 8609, 8640, 8694, 8596, 8502, 8544, 8530, 8372, 8176, 8142, 7856, 7870, 7660, 7592, 7275, 7057, 7096, 6824, 6698, 6638, 6482, 6091, 6026, 5424, 4949, 4575, 4090, 3632, 3190, 2561, 2230, 1915, 1497, 1367, 1090, 921, 752, 687, 543, 493, 403, 361, 314, 284, 250, 202, 161, 172, 142, 124, 102, 104, 103, 85, 91, 90, 64, 84, 72, 60, 64, 84, 52, 50, 57, 58, 56, 64, 92, 86, 117, 274]"
woa_K3,"8,103,216",2.3564979105722417,0.0132,10,3,15.148603844068232,0.6173258578463959,0.901947952512921,"[78167, 2542, 1537, 1382, 1315, 1228, 1194, 1360, 1431, 1473, 1313, 1266, 1335, 1342, 1349, 1310, 1263, 1216, 1260, 1122, 1126, 1121, 1233, 1125, 1095, 1193, 1145, 1177, 1243, 1290, 1322, 1451, 1467, 1436, 1488, 1511, 1484, 1539, 1644, 1700, 1738, 1816, 1896, 1815, 1840, 1995, 2066, 2135, 2160, 2179, 2353, 2475, 2607, 2739, 2832, 2925, 3081, 3133, 3344, 3422, 3321, 3539, 3556, 3670, 3636, 3816, 3651, 3663, 3845, 3797, 3742, 3940, 3757, 3965, 4135, 4221, 4154, 4123, 4382, 4480, 4495, 4451, 4322, 4317, 4176, 4015, 4059, 4052, 4127, 4015, 4165, 4071, 4237, 4211, 4368, 4379, 4488, 4431, 4483, 4631, 4661, 4702, 4844, 4905, 4983, 4867, 5082, 5241, 5268, 5503, 5545, 5634, 5723, 5986, 6186, 6127, 6530, 6460, 6637, 6878, 6998, 7020, 7142, 7132, 7351, 7393, 7408, 7513, 7454, 7815, 7693, 8102, 8034, 8113, 8125, 8008, 7980, 7980, 7979, 8053, 7891, 7820, 7802, 7672, 7900, 7776, 7640, 7851, 7806, 7910, 7752, 7762, 7680, 7702, 7401, 7429, 7504, 7298, 7341, 7485, 7450, 7341, 7471, 7467, 7555, 7621, 7593, 7679, 7902, 7902, 8041, 8137, 7962, 8159, 8253, 8149, 8315, 8380, 8517, 8542, 8328, 8697, 8587, 8451, 8609, 8640, 8694, 8596, 8502, 8544, 8530, 8372, 8176, 8142, 7856, 7870, 7660, 7592, 7275, 7057, 7096, 6824, 6698, 6638, 6482, 6091, 6026, 5424, 4949, 4575, 4090, 3632, 3190, 2561, 2230, 1915, 1497, 1367, 1090, 921, 752, 687, 543, 493, 403, 361, 314, 284, 250, 202, 161, 172, 142, 124, 102, 104, 103, 85, 91, 90, 64, 84, 72, 60, 64, 84, 52, 50, 57, 58, 56, 64, 92, 86, 117, 274]"
pso_K3,"70,137,182",2.475463037471179,0.0112,10,3,23.03794459614087,0.6146363418091789,0.9578189759498293,"[78167, 2542, 1537, 1382, 1315, 1228, 1194, 1360, 1431, 1473, 1313, 1266, 1335, 1342, 1349, 1310, 1263, 1216, 1260, 1122, 1126, 1121, 1233, 1125, 1095, 1193, 1145, 1177, 1243, 1290, 1322, 1451, 1467, 1436, 1488, 1511, 1484, 1539, 1644, 1700, 1738, 1816, 1896, 1815, 1840, 1995, 2066, 2135, 2160, 2179, 2353, 2475, 2607, 2739, 2832, 2925, 3081, 3133, 3344, 3422, 3321, 3539, 3556, 3670, 3636, 3816, 3651, 3663, 3845, 3797, 3742, 3940, 3757, 3965, 4135, 4221, 4154, 4123, 4382, 4480, 4495, 4451, 4322, 4317, 4176, 4015, 4059, 4052, 4127, 4015, 4165, 4071, 4237, 4211, 4368, 4379, 4488, 4431, 4483, 4631, 4661, 4702, 4844, 4905, 4983, 4867, 5082, 5241, 5268, 5503, 5545, 5634, 5723, 5986, 6186, 6127, 6530, 6460, 6637, 6878, 6998, 7020, 7142, 7132, 7351, 7393, 7408, 7513, 7454, 7815, 7693, 8102, 8034, 8113, 8125, 8008, 7980, 7980, 7979, 8053, 7891, 7820, 7802, 7672, 7900, 7776, 7640, 7851, 7806, 7910, 7752, 7762, 7680, 7702, 7401, 7429, 7504, 7298, 7341, 7485, 7450, 7341, 7471, 7467, 7555, 7621, 7593, 7679, 7902, 7902, 8041, 8137, 7962, 8159, 8253, 8149, 8315, 8380, 8517, 8542, 8328, 8697, 8587, 8451, 8609, 8640, 8694, 8596, 8502, 8544, 8530, 8372, 8176, 8142, 7856, 7870, 7660, 7592, 7275, 7057, 7096, 6824, 6698, 6638, 6482, 6091, 6026, 5424, 4949, 4575, 4090, 3632, 3190, 2561, 2230, 1915, 1497, 1367, 1090, 921, 752, 687, 543, 493, 403, 361, 314, 284, 250, 202, 161, 172, 142, 124, 102, 104, 103, 85, 91, 90, 64, 84, 72, 60, 64, 84, 52, 50, 57, 58, 56, 64, 92, 86, 117, 274]"
otsu_K4,"74,122,152,182",3.0664540031950756,0.0368,10,4,24.235507675125298,0.6476341670419654,0.9732371973902146,"[78167, 2542, 1537, 1382, 1315, 1228, 1194, 1360, 1431, 1473, 1313, 1266, 1335, 1342, 1349, 1310, 1263, 1216, 1260, 1122, 1126, 1121, 1233, 1125, 1095, 1193, 1145, 1177, 1243, 1290, 1322, 1451, 1467, 1436, 1488, 1511, 1484, 1539, 1644, 1700, 1738, 1816, 1896, 1815, 1840, 1995, 2066, 2135, 2160, 2179, 2353, 2475, 2607, 2739, 2832, 2925, 3081, 3133, 3344, 3422, 3321, 3539, 3556, 3670, 3636, 3816, 3651, 3663, 3845, 3797, 3742, 3940, 3757, 3965, 4135, 4221, 4154, 4123, 4382, 4480, 4495, 4451, 4322, 4317, 4176, 4015, 4059, 4052, 4127, 4015, 4165, 4071, 4237, 4211, 4368, 4379, 4488, 4431, 4483, 4631, 4661, 4702, 4844, 4905, 4983, 4867, 5082, 5241, 5268, 5503, 5545, 5634, 5723, 5986, 6186, 6127, 6530, 6460, 6637, 6878, 6998, 7020, 7142, 7132, 7351, 7393, 7408, 7513, 7454, 7815, 7693, 8102, 8034, 8113, 8125, 8008, 7980, 7980, 7979, 8053, 7891, 7820, 7802, 7672, 7900, 7776, 7640, 7851, 7806, 7910, 7752, 7762, 7680, 7702, 7401, 7429, 7504, 7298, 7341, 7485, 7450, 7341, 7471, 7467, 7555, 7621, 7593, 7679, 7902, 7902, 8041, 8137, 7962, 8159, 8253, 8149, 8315, 8380, 8517, 8542, 8328, 8697, 8587, 8451, 8609, 8640, 8694, 8596, 8502, 8544, 8530, 8372, 8176, 8142, 7856, 7870, 7660, 7592, 7275, 7057, 7096, 6824, 6698, 6638, 6482, 6091, 6026, 5424, 4949, 4575, 4090, 3632, 3190, 2561, 2230, 1915, 1497, 1367, 1090, 921, 752, 687, 543, 493, 403, 361, 314, 284, 250, 202, 161, 172, 142, 124, 102, 104, 103, 85, 91, 90, 64, 84, 72, 60, 64, 84, 52, 50, 57, 58, 56, 64, 92, 86, 117, 274]"
mfwoa_K4,"43,97,154,219",3.111840987117783,0.2975,10,4,15.409416779450876,0.6048827029849052,0.8960700165867109,"[78167, 2542, 1537, 1382, 1315, 1228, 1194, 1360, 1431, 1473, 1313, 1266, 1335, 1342, 1349, 1310, 1263, 1216, 1260, 1122, 1126, 1121, 1233, 1125, 1095, 1193, 1145, 1177, 1243, 1290, 1322, 1451, 1467, 1436, 1488, 1511, 1484, 1539, 1644, 1700, 1738, 1816, 1896, 1815, 1840, 1995, 2066, 2135, 2160, 2179, 2353, 2475, 2607, 2739, 2832, 2925, 3081, 3133, 3344, 3422, 3321, 3539, 3556, 3670, 3636, 3816, 3651, 3663, 3845, 3797, 3742, 3940, 3757, 3965, 4135, 4221, 4154, 4123, 4382, 4480, 4495, 4451, 4322, 4317, 4176, 4015, 4059, 4052, 4127, 4015, 4165, 4071, 4237, 4211, 4368, 4379, 4488, 4431, 4483, 4631, 4661, 4702, 4844, 4905, 4983, 4867, 5082, 5241, 5268, 5503, 5545, 5634, 5723, 5986, 6186, 6127, 6530, 6460, 6637, 6878, 6998, 7020, 7142, 7132, 7351, 7393, 7408, 7513, 7454, 7815, 7693, 8102, 8034, 8113, 8125, 8008, 7980, 7980, 7979, 8053, 7891, 7820, 7802, 7672, 7900, 7776, 7640, 7851, 7806, 7910, 7752, 7762, 7680, 7702, 7401, 7429, 7504, 7298, 7341, 7485, 7450, 7341, 7471, 7467, 7555, 7621, 7593, 7679, 7902, 7902, 8041, 8137, 7962, 8159, 8253, 8149, 8315, 8380, 8517, 8542, 8328, 8697, 8587, 8451, 8609, 8640, 8694, 8596, 8502, 8544, 8530, 8372, 8176, 8142, 7856, 7870, 7660, 7592, 7275, 7057, 7096, 6824, 6698, 6638, 6482, 6091, 6026, 5424, 4949, 4575, 4090, 3632, 3190, 2561, 2230, 1915, 1497, 1367, 1090, 921, 752, 687, 543, 493, 403, 361, 314, 284, 250, 202, 161, 172, 142, 124, 102, 104, 103, 85, 91, 90, 64, 84, 72, 60, 64, 84, 52, 50, 57, 58, 56, 64, 92, 86, 117, 274]"
