algo,thresholds,fe,time,psnr,ssim,dice
mfwoa,"15,54",2.9184759687795183,3.0888,15.375512307179335,0.36782606575100585,0.4055729618025465
woa,"15,54",2.9184759687795183,3.3064,15.375512307179335,0.36782606575100585,0.4055729618025465
mfwoa,"31,76,214",3.575327703295781,2.9344,20.197258291125372,0.571257587566605,0.41540352314625156
woa,"37,76,214",3.572600225295015,3.0505,20.211271153089378,0.571976255828336,0.4186262535909036
mfwoa,"31,140,183,216",4.246613114771182,2.9212,21.24884887796895,0.5496517096470263,0.41540352314625156
woa,"29,140,179,216",4.2463302673591565,2.8719,21.151554455351764,0.5452785851367257,0.4143496841639283
mfwoa,"37,131,158,201,238",4.899687326819293,2.1841,22.217966469793872,0.6375322535943563,0.4186262535909036
woa,"23,54,83,195,216",4.879882978356861,2.3869,22.603073063928885,0.6801844221735607,0.4107757747620012
mfwoa,"15,46,77,98,175,212",5.553128145605097,1.489,25.947986334527513,0.8213735226596126,0.4055729618025465
woa,"19,46,131,164,191,216",5.588723076982839,1.6142,22.905830362524526,0.66845999784392,0.40821940786714755
