algo,thresholds,fe,time,opt_iters,K,psnr,ssim,dice
mfwoa_K2,"153,206",3.0155290371743035,9.0391,75,2,17.68186151650343,0.543352127373012,0.679481745386228
woa_K2,"153,206",3.0155290371743035,10.5105,75,2,17.68186151650343,0.543352127373012,0.679481745386228
mfwoa_K3,"50,79,214",3.731366876479263,9.9215,75,3,20.23640613828812,0.6911517363018352,0.43895751778343056
woa_K3,"153,202,226",3.7150065701140673,10.1208,75,3,17.688460863857536,0.5439518581884486,0.679481745386228
mfwoa_K4,"50,79,210,226",4.412964848938888,9.8842,75,4,20.26748729156896,0.6918657004772508,0.43895751778343056
woa_K4,"51,130,159,204",4.457213941855166,12.1664,75,4,23.470104406205223,0.6917791924921738,0.44133558457668587
mfwoa_K5,"49,58,129,178,221",5.143185860417578,11.2242,75,5,24.160610057603954,0.7118455171287634,0.43666779048492127
woa_K5,"50,79,128,159,204",5.163742905825112,12.6273,75,5,27.810409670441643,0.772014313188576,0.43895751778343056
mfwoa_K6,"49,74,87,126,179,220",5.865734307035165,7.9503,50,6,28.038774778625974,0.7850864253714452,0.43666779048492127
woa_K6,"23,82,129,160,185,220",5.936649744335455,8.3586,50,6,25.48533592986486,0.7161455969447122,0.36063183779200914
mfwoa_K7,"23,82,129,158,169,200,222",6.634636908297697,7.9944,50,7,25.520792605870387,0.7195775393036872,0.36063183779200914
woa_K7,"49,62,103,152,183,200,226",6.608251220578351,9.2163,50,7,27.816855203432127,0.7785647283546544,0.43666779048492127
mfwoa_K8,"50,83,124,143,158,185,210,223",7.271075223393202,5.3282,30,8,29.360876275403154,0.7970533306285175,0.43895751778343056
woa_K8,"24,77,90,127,160,175,202,226",7.294747763522437,5.489,30,8,26.949092136869012,0.7536187535229638,0.36069503071189646
mfwoa_K9,"24,83,106,149,170,183,196,213,226",8.03578834162082,4.9836,30,9,25.998421055450702,0.7398383297130876,0.36069503071189646
woa_K9,"50,61,106,129,148,171,188,205,226",7.986283494649777,5.9697,30,9,29.33001382264029,0.8056839024991853,0.43895751778343056
mfwoa_K10,"50,61,78,105,132,159,180,205,213,225",8.65322372675038,5.7319,30,10,31.822938491211747,0.841505040178627,0.43895751778343056
woa_K10,"49,80,99,110,127,150,171,190,207,226",8.65454174474212,6.2748,30,10,32.65394320208638,0.8573383359560981,0.43666779048492127
