algo,thresholds,fe,time,opt_iters,K,psnr,ssim,dice
mfwoa_K2,"31,58",2.6613999748491084,1.5735,75,2,15.254310053357806,0.38154816451308066,0.41540352314625156
woa_K2,"23,54",2.660890478164964,9.7431,75,2,15.165438533828876,0.36321984990168105,0.4107757747620012
mfwoa_K3,"23,46,67",3.2633513819583904,1.5735,75,3,15.590079160327159,0.4506456404209106,0.4107757747620012
woa_K3,"33,76,214",3.321207946609491,10.5686,75,3,20.03368664642816,0.5658181527168711,0.41654114747364096
mfwoa_K4,"47,84,199,232",3.9395008320668143,1.5735,75,4,21.98986099425017,0.6581162062896533,0.426110099453705
woa_K4,"29,140,177,216",3.9905938259849387,11.3496,75,4,21.081825139281435,0.5420327788853784,0.4143496841639283
mfwoa_K5,"31,80,137,180,216",4.6313069002211975,1.5735,75,5,25.52629056701217,0.7522205001330541,0.41540352314625156
woa_K5,"34,137,166,197,236",4.650422808799939,12.5756,75,5,21.591561435046764,0.5757768128029499,0.4170551137921579
mfwoa_K6,"31,78,133,166,201,230",5.305865221285873,1.5735,75,6,26.020205317052564,0.7691474336044934,0.41540352314625156
woa_K6,"21,49,84,137,179,216",5.313768680493452,8.2152,50,6,26.461512582065886,0.7911601470625219,0.40961421934962633
mfwoa_K7,"30,59,106,139,164,189,216",5.979876317419634,1.5735,75,7,27.38206414070389,0.8528658046567714,0.41494313628535867
woa_K7,"17,55,84,129,152,183,216",6.000527167961153,8.5116,50,7,27.55091846552213,0.8383637113931228,0.40702458605117914
mfwoa_K8,"31,62,91,122,153,178,213,236",6.661539947815618,1.5735,75,8,29.45965216889055,0.8920279935095912,0.41540352314625156
woa_K8,"31,60,85,130,151,180,205,234",6.682342945401727,5.4275,30,8,28.07429947447712,0.8432114654181777,0.41540352314625156
mfwoa_K9,"19,37,58,85,130,155,174,201,224",7.33909009425782,1.5735,75,9,28.219993468739748,0.8496037071212077,0.40821940786714755
woa_K9,"27,44,65,90,123,154,179,213,236",7.323839341752279,5.737,30,9,29.83988111623286,0.8975303755699655,0.41328012227222555
mfwoa_K10,"19,36,59,86,129,154,173,196,219,236",8.013846397879803,1.5735,75,10,28.72241890344568,0.8622173097980483,0.40821940786714755
woa_K10,"13,34,57,86,109,138,165,188,211,236",8.0274514920731,6.0402,30,10,31.02028392330763,0.9196757699480269,0.40431293715007227
