algo,thresholds,fe,time,opt_iters,K,psnr,ssim,dice
mfwoa_K2,"77,210",1.7170372496098543,10.6045,75,2,19.533030417922312,0.5479961272397229,0.4860104247798215
woa_K2,"77,210",1.7170372496098543,12.7223,75,2,19.533030417922312,0.5479961272397229,0.4860104247798215
mfwoa_K3,"38,139,208",2.3724451581158057,9.2186,75,3,21.248190647062366,0.5600858266034288,0.41929703652653344
woa_K3,"43,138,208",2.3720913623514415,9.9979,75,3,21.539965499644566,0.5770924652834503,0.42304349337690783
mfwoa_K4,"55,110,163,212",2.997269345469906,9.764,75,4,24.626863390976347,0.782759872946608,0.4353410493551099
woa_K4,"45,132,175,216",3.001739271959706,12.1897,75,4,22.371961661649493,0.6364997482926095,0.4246082981470496
mfwoa_K5,"37,82,135,170,214",3.6522857345272968,10.744,75,5,25.907519474799315,0.7730620180484618,0.4186262535909036
woa_K5,"37,82,137,179,216",3.658671824151046,11.4845,75,5,25.758732292289608,0.7638302937016647,0.4186262535909036
mfwoa_K6,"35,76,111,150,183,216",4.257549965430066,8.7984,50,6,27.856152479126315,0.8601803481806082,0.4175703500343171
woa_K6,"31,66,105,140,181,216",4.255013312027617,8.4379,50,6,27.720933023339114,0.8594017814482832,0.41540352314625156
mfwoa_K7,"31,60,85,112,149,182,217",4.851615059425145,7.8836,50,7,29.18912347745116,0.8943544595929221,0.41540352314625156
woa_K7,"31,61,90,123,152,185,218",4.876052370812033,8.3682,50,7,28.870662485836537,0.8830084334944514,0.41540352314625156
mfwoa_K8,"23,54,87,110,137,166,195,222",5.423300778484011,4.9136,30,8,29.990517705045676,0.906151914681548,0.4107757747620012
woa_K8,"31,59,92,119,142,173,201,230",5.430417609440891,5.3707,30,8,29.743495093962974,0.9005766325780109,0.41540352314625156
mfwoa_K9,"23,46,71,98,121,140,167,199,230",6.015796471236528,5.2081,30,9,30.958518098632254,0.9218405398516103,0.4107757747620012
woa_K9,"23,46,75,100,127,150,177,202,230",6.022192710308046,5.5227,30,9,30.686439404366595,0.9120365521123669,0.4107757747620012
mfwoa_K10,"19,43,66,87,110,137,164,191,217,236",6.549451663879371,5.6006,30,10,31.518645966287973,0.9283291156465281,0.40821940786714755
woa_K10,"21,50,75,96,117,142,165,188,213,234",6.568070415565252,5.6639,30,10,31.758459818791668,0.9315665583769506,0.40961421934962633
