algo,thresholds,fe,time,opt_iters,K,psnr,ssim,dice
otsu_K2,"78,135",2.5250864361043566,0.0262,75,2,24.06831003176778,0.6759825195359858,0.5211447172114472
mfwoa_K2,"153,206",3.0155290371743035,9.7657,75,2,17.68186151650343,0.543352127373012,0.679481745386228
woa_K2,"153,206",3.0155290371743035,9.1383,75,2,17.68186151650343,0.543352127373012,0.679481745386228
otsu_K3,"63,102,146",3.4313826402772767,0.0552,75,3,26.7425321568227,0.7365503456515856,0.468341675875967
mfwoa_K3,"50,79,214",3.731366876479263,8.5383,75,3,20.23640613828812,0.6911517363018352,0.43895751778343056
woa_K3,"23,84,211",3.7588266576915195,9.296,75,3,19.921707566733552,0.6357771246792633,0.36063183779200914
otsu_K4,"57,90,120,155",4.241822571639933,2.6514,75,4,28.84468455495417,0.7746656473890606,0.45430074684217786
mfwoa_K4,"50,129,178,221",4.459361925363509,9.4489,75,4,23.15731813033205,0.6764054471312541,0.43895751778343056
woa_K4,"51,130,159,204",4.457213941855166,11.4321,75,4,23.470104406205223,0.6917791924921738,0.44133558457668587
otsu_K5,"53,80,104,128,160",4.990188493887654,132.4914,75,5,30.388525650294056,0.8137932020400692,0.44570407804229223
mfwoa_K5,"21,88,103,152,181",5.1412456216388716,12.3447,75,5,24.904162985954777,0.7114250769872772,0.36054723909494113
woa_K5,"23,84,127,179,220",5.207612293702216,11.6404,75,5,24.760557827269338,0.6897635393828886,0.36063183779200914
