algo,thresholds,fe,time,psnr,ssim,dice
otsu_K2,"78,135",2.5250864361043566,0.0193,24.169935857108374,0.6767262029271216,0.5211447172114472
mfwoa_K2,"153,206",3.0155290371743035,2.1132,17.715478095313816,0.5421871578076466,0.679481745386228
woa_K2,"153,206",3.0155290371743035,2.3025,17.715478095313816,0.5421871578076466,0.679481745386228
otsu_K3,"63,102,146",3.4313826402772767,0.0464,26.815966490242687,0.7343856101980892,0.468341675875967
mfwoa_K3,"153,182,217",3.7140433084352447,2.1878,17.765255461965875,0.5492264679691392,0.679481745386228
woa_K3,"50,79,214",3.731366876479263,2.2962,20.491372133645545,0.6834964040563413,0.43895751778343056
otsu_K4,"57,90,120,155",4.241822571639933,3.3499,28.860102528735826,0.7731784676389931,0.45430074684217786
mfwoa_K4,"51,130,159,206",4.456900050642926,2.429,23.507371328967928,0.6905810185264226,0.44133558457668587
woa_K4,"51,130,161,202",4.455172347611074,2.8544,23.524914372874058,0.6907572686458183,0.44133558457668587
otsu_K5,"53,80,104,128,160",4.990188493887654,122.7405,30.43441106302342,0.8122707216177213,0.44570407804229223
mfwoa_K5,"23,82,97,198,225",5.105358098062143,2.0858,21.62637113778515,0.6591685513977672,0.36063183779200914
woa_K5,"22,86,127,160,205",5.19394650917285,2.4946,25.249824063411612,0.7022008542458282,0.3605844576312011
