algo,thresholds,fe,time,opt_iters,K,psnr,ssim,dice
mfwoa_K2,"153,206",3.0155290371743035,11.5139,75,2,17.68186151650343,0.543352127373012,0.679481745386228
woa_K2,"153,206",3.0155290371743035,9.7045,75,2,17.68186151650343,0.543352127373012,0.679481745386228
mfwoa_K3,"23,84,211",3.7588266576915195,8.9235,75,3,19.921707566733552,0.6357771246792633,0.36063183779200914
woa_K3,"151,182,219",3.7148894676225694,9.9977,75,3,17.80316140291025,0.5531757530908517,0.6982710918884736
mfwoa_K4,"50,129,178,217",4.458796775598829,9.5214,75,4,23.158903097757428,0.6764564122820005,0.43895751778343056
woa_K4,"22,85,206,226",4.456225887824401,9.9618,75,4,19.996684335847426,0.635316439090576,0.3605844576312011
mfwoa_K5,"49,78,129,176,219",5.168559214897708,11.2109,75,5,27.024939508356802,0.756898718339143,0.43666779048492127
woa_K5,"52,103,152,201,226",5.163531118557887,10.3213,75,5,26.36794978027511,0.7338266036461583,0.4434664183985165
mfwoa_K6,"23,84,105,150,183,218",5.935138647717846,6.7704,50,6,25.549146909269616,0.7250398625508253,0.36063183779200914
woa_K6,"22,85,104,151,182,219",5.935924968712427,6.7868,50,6,25.389062067397337,0.7217053295405789,0.3605844576312011
mfwoa_K7,"22,85,106,131,172,195,222",6.60955540832769,6.8126,50,7,25.901251228979163,0.7302489100755514,0.3605844576312011
woa_K7,"50,65,84,103,152,183,218",6.598422074436714,9.3443,50,7,29.27348345540934,0.8207536669622066,0.43895751778343056
mfwoa_K8,"23,86,95,114,127,162,197,226",7.267403460800965,4.09,30,8,25.992049915037118,0.7469915357328412,0.36063183779200914
woa_K8,"50,73,106,147,174,195,210,226",7.316250840847701,4.9608,30,8,29.286945368029052,0.7990142436832629,0.43895751778343056
mfwoa_K9,"49,70,87,128,145,158,175,196,225",7.98705683895567,4.8864,30,9,30.32846013336183,0.8293704082291543,0.43666779048492127
woa_K9,"24,81,98,111,130,157,180,207,226",8.006010412866646,5.062,30,9,27.26615708407548,0.780555525286655,0.36069503071189646
mfwoa_K10,"48,77,96,107,128,141,160,186,203,224",8.652270863658618,5.072,30,10,32.74805905830533,0.8601552618471175,0.4342807197323608
woa_K10,"49,66,83,106,129,142,161,178,205,226",8.685178469317172,5.5298,30,10,33.14462668639789,0.862218141468833,0.43666779048492127
