algo,thresholds,fe,time,psnr,ssim,dice
mfwoa,"15,54",2.9184759687795183,2.8808,15.375512307179335,0.36782606575100585,0.4055729618025465
woa,"15,54",2.9184759687795183,2.9726,15.375512307179335,0.36782606575100585,0.4055729618025465
mfwoa,"31,76,214",3.575327703295781,3.009,20.197258291125372,0.571257587566605,0.41540352314625156
woa,"15,36,59",3.544919367081188,3.3202,15.575837074445367,0.3997975534984436,0.4055729618025465
mfwoa,"31,138,179,216",4.247189900508975,3.1582,21.349316803406015,0.564230883874946,0.41540352314625156
woa,"31,140,183,214",4.245213221819016,3.5833,21.245663382282327,0.5498286792592381,0.41540352314625156
mfwoa,"43,130,159,201,236",4.893790848652749,2.6891,22.644836637800793,0.6574388427753117,0.42304349337690783
woa,"23,34,139,180,216",4.899914812305523,2.3735,21.510745229508196,0.5671022679626913,0.4107757747620012
mfwoa,"27,60,85,138,179,238",5.572924546837815,1.7027,26.416130999621693,0.7961401591843963,0.41328012227222555
woa,"23,80,137,163,197,236",5.574687556481057,2.0402,25.580805745762518,0.754687366518805,0.4107757747620012
