algo,thresholds,fe,time,opt_iters,K,psnr,ssim,dice
otsu_K2,"78,135",2.5250864361043566,0.0235,75,2,24.010113368403466,0.6741576361673388,0.5211447172114472
mfwoa_K2,"153,206",3.0155290371743035,10.7113,75,2,17.669362778925663,0.5424699378561041,0.679481745386228
woa_K2,"159,231",-1000000.0,8.0412,75,2,17.415628461252147,0.5322228426081076,0.6199597739680107
otsu_K3,"63,102,146",3.4313826402772767,0.0514,75,3,26.688030953650276,0.7350605503450452,0.468341675875967
mfwoa_K3,"22,83,212",3.758118279576998,8.3537,75,3,19.89945646986205,0.6351046026421596,0.3605844576312011
woa_K3,"20,21,22",-1000000.0,8.4923,75,3,15.282461824908234,0.48225657505123715,0.36052694131334995
otsu_K4,"57,90,120,155",4.241822571639933,3.1407,75,4,28.79798881072324,0.7734602778075877,0.45430074684217786
mfwoa_K4,"23,82,127,178",4.436858038303439,9.7525,75,4,24.861317885181787,0.6910137741804208,0.36063183779200914
woa_K4,"24,80,125,238",-1000000.0,8.4472,75,4,23.68892164719368,0.6722594388206391,0.36069503071189646
otsu_K5,"53,80,104,128,160",4.990188493887654,130.5131,75,5,30.359528048799195,0.813017778682461,0.44570407804229223
mfwoa_K5,"23,82,103,154,205",5.196853273351954,9.4488,75,5,25.24535604143494,0.7156302822486834,0.36063183779200914
woa_K5,"73,114,161,170,242",-1000000.0,10.8093,75,5,26.09973430984944,0.7095916312394126,0.5030263094734178
