algo,thresholds,fe,time,psnr,ssim,dice
otsu_K2,"1,118",-1000000.0,0.0072,28.22891549558797,0.8769545410891304,0.640591058848386
mfwoa_K2,"53,181",2.8360253863087155,3.7929,19.04501771851594,0.7980858034343469,0.640591058848386
woa_K2,"53,181",2.8360253863087155,3.1028,19.04501771851594,0.7980858034343469,0.640591058848386
otsu_K3,"1,116,170",-1000000.0,0.119,31.18222062074041,0.9049559970086792,0.640591058848386
mfwoa_K3,"54,179,216",3.5239901488863214,3.6243,19.089590367411915,0.7995028431140716,0.640591058848386
woa_K3,"54,179,216",3.5239901488863214,2.9827,19.089590367411915,0.7995028431140716,0.640591058848386
otsu_K4,"1,95,127,170",-1000000.0,5.38,32.88573445933791,0.9305950955175474,0.640591058848386
mfwoa_K4,"109,162,197,228",4.024227024082697,3.8191,17.887727037087686,0.6579951171917788,0.9795353814778543
woa_K4,"55,178,203,228",4.174270820364005,3.3779,19.111966182177383,0.8005789249799498,0.640591058848386
otsu_K5,"1,93,123,148,175",-1000000.0,275.6688,34.352105389405054,0.9425901569599414,0.640591058848386
mfwoa_K5,"109,162,181,208,236",4.633865124592367,2.8792,17.893062115271206,0.6602910659212194,0.9795353814778543
woa_K5,"56,177,200,217,236",4.789811160440799,3.8014,19.130566752767045,0.8012601900209008,0.640591058848386
