algo,thresholds,fe,time,opt_iters,K,psnr,ssim,dice
otsu_K2,"73,163",2.4474999929982184,0.045,300,2,21.47998210447431,0.6505093586277901,0.9017378419326374
mfwoa_K2,"13,86",2.5802452876382485,38.5216,300,2,17.53143972067982,0.7707972866464149,0.8668627205566248
woa_K2,"254,254",-99999999997.83563,50.6236,300,2,11.455402824967184,0.6525352372480254,0.0030293175702631333
otsu_K3,"57,131,181",3.1665323400794545,0.0747,300,3,24.068321130413302,0.6698723934359564,0.887952935498129
mfwoa_K3,"15,90,241",3.202685910142949,45.4695,300,3,17.731266565050767,0.7654269250082825,0.8679192915253281
woa_K3,"253,254,254",-99999999997.63286,45.1333,300,3,11.459379877480691,0.6525084591910324,0.004027244337424701
otsu_K4,"40,101,147,187",3.7283894351610884,4.4666,300,4,26.146773120168042,0.6963459521403608,0.8791806511391136
mfwoa_K4,"27,87,148,215",3.900677867863417,50.0105,300,4,24.09733462922342,0.7254206763942428,0.8731796357159463
woa_K4,"252,253,254,254",-99999999997.52438,49.989,300,4,11.46187798379908,0.6528634907018723,0.004664041638913286
otsu_K5,"37,95,138,173,203",4.352572615488668,220.5372,180,5,27.775330029535933,0.7002577387427374,0.8777561008180667
mfwoa_K5,"5,56,116,183,238",4.562502194446232,31.1641,180,5,24.213805882484955,0.7591080468203548,0.8623312986584137
woa_K5,"1,2,253,254,254",-99999999997.52243,30.3088,180,5,14.474973285932409,0.751392180199555,0.8606685494210308
