algo,thresholds,fe,time,opt_iters,K,psnr,ssim,dice
otsu_K2,"73,166",2.785649586464619,0.1033,300,2,20.52247149349061,0.6658080067630405,0.8737684939158752
mfwoa_K2,"33,88",2.971589454414649,43.102,300,2,15.799882684902817,0.6891270491779351,0.850528088920337
woa_K2,"254,254",-99999999997.77489,49.0483,300,2,11.138253622206058,0.6129331174645485,0.0009419118215829402
otsu_K3,"56,129,187",3.5195862531697784,0.1143,300,3,23.52911371839032,0.6781582865645891,0.8589997349013339
mfwoa_K3,"32,67,106",3.662389152874628,49.669,300,3,17.15551094500009,0.6918972756073718,0.850239310133636
woa_K3,"253,254,254",-99999999997.57231,52.192,300,3,11.140235235966799,0.6116003861400325,0.0018080454486522164
otsu_K4,"50,113,161,204",4.317114634968276,5.5632,300,4,25.644530353722374,0.6916183970964046,0.8561833081914674
mfwoa_K4,"33,86,143,204",4.3761350921927615,58.3375,300,4,24.690300645011295,0.6802708255812134,0.850528088920337
woa_K4,"252,253,254,254",-99999999997.4705,57.9395,300,4,11.143374976285951,0.6098970837347318,0.0032093268352160016
otsu_K5,"45,99,138,176,211",5.020506095622851,238.1289,180,5,27.306030529905215,0.7100391919264506,0.8543328620876042
mfwoa_K5,"32,83,124,163,204",5.115741097281767,36.2898,180,5,26.933773616640405,0.7107222561019603,0.850239310133636
woa_K5,"1,2,253,254,254",-99999999997.45206,35.3932,180,5,11.184447888244824,0.6126995064158097,0.799197128685688
