algo,thresholds,fe,time,opt_iters,K,psnr,ssim,dice
mfwoa_K2,"31,58",2.6613999748491084,1.451,75,2,15.254310053357806,0.38154816451308066,0.41540352314625156
woa_K2,"31,58",2.6613999748491084,9.2757,75,2,15.254310053357806,0.38154816451308066,0.41540352314625156
mfwoa_K3,"23,46,67",3.2633513819583904,1.451,75,3,15.590079160327159,0.4506456404209106,0.4107757747620012
woa_K3,"29,142,212",3.295205665969009,10.1377,75,3,20.67741679258716,0.5224516604314127,0.4143496841639283
mfwoa_K4,"47,84,199,232",3.9395008320668143,1.451,75,4,21.98986099425017,0.6581162062896533,0.426110099453705
woa_K4,"43,80,203,236",3.949234357208942,10.5613,75,4,21.430904709152877,0.6226961516642664,0.42304349337690783
mfwoa_K5,"31,80,137,180,216",4.6313069002211975,1.451,75,5,25.52629056701217,0.7522205001330541,0.41540352314625156
woa_K5,"17,45,136,177,216",4.6361877320619795,11.3382,75,5,22.308251946252117,0.6145721986648551,0.40702458605117914
mfwoa_K6,"31,78,133,166,201,230",5.305865221285873,1.451,75,6,26.020205317052564,0.7691474336044934,0.41540352314625156
woa_K6,"23,50,83,138,179,216",5.31502486010052,8.1912,50,6,26.33246555736829,0.7834920050664247,0.4107757747620012
mfwoa_K7,"30,59,106,139,164,189,216",5.979876317419634,1.451,75,7,27.38206414070389,0.8528658046567714,0.41494313628535867
woa_K7,"23,55,84,131,150,181,216",6.001987972529209,8.5315,50,7,27.423352557587684,0.8294448218174875,0.4107757747620012
mfwoa_K8,"31,62,91,122,153,178,213,236",6.661539947815618,1.451,75,8,29.45965216889055,0.8920279935095912,0.41540352314625156
woa_K8,"15,36,61,86,135,168,195,234",6.673599009094382,5.5447,30,8,27.59588995227626,0.8282880851230131,0.4055729618025465
mfwoa_K9,"19,37,58,85,130,155,174,201,224",7.33909009425782,1.451,75,9,28.219993468739748,0.8496037071212077,0.40821940786714755
woa_K9,"15,34,67,86,129,154,180,205,234",7.353564021861892,5.8536,30,9,28.6052341376679,0.8604626666914752,0.4055729618025465
mfwoa_K10,"19,36,59,86,129,154,173,196,219,236",8.013846397879803,1.451,75,10,28.72241890344568,0.8622173097980483,0.40821940786714755
woa_K10,"13,32,61,84,115,140,165,188,211,236",8.019162651716867,6.0604,30,10,30.684831078751778,0.9136327089660221,0.40431293715007227
