algo,thresholds,fe,time,opt_iters,K,psnr,ssim,dice
mfwoa_K2,"31,58",2.6613999748491084,1.5102,75,2,15.254310053357806,0.38154816451308066,0.41540352314625156
woa_K2,"23,54",2.660890478164964,9.3661,75,2,15.165438533828876,0.36321984990168105,0.4107757747620012
mfwoa_K3,"29,140,177",3.2856878838811614,1.5102,75,3,20.79039067537876,0.5311908300775846,0.4143496841639283
woa_K3,"35,76,214",3.3211833125060006,9.9565,75,3,20.040285306058912,0.5664536479031087,0.4175703500343171
mfwoa_K4,"31,140,181,216",3.9920698225555222,1.5102,75,4,21.14300374061787,0.5455924874642316,0.41540352314625156
woa_K4,"31,138,165,214",3.986985684652054,10.6076,75,4,21.2570639678494,0.5582286868744814,0.41540352314625156
mfwoa_K5,"35,136,165,188,217",4.645364121274156,1.5102,75,5,21.666621187591524,0.5850309751759425,0.4175703500343171
woa_K5,"15,37,138,179,216",4.639117838779684,11.1495,75,5,21.634331190042456,0.579412987935274,0.4055729618025465
mfwoa_K6,"35,136,165,188,217,234",5.2694161235070425,1.5102,75,6,21.74574276841419,0.5894892281755861,0.4175703500343171
woa_K6,"17,46,129,152,183,216",5.310577712985458,7.9802,50,6,23.059186302121113,0.6810553687992584,0.40702458605117914
mfwoa_K7,"35,82,131,150,178,203,236",5.973659150914201,1.5102,75,7,26.791775323008153,0.8025700398730482,0.4175703500343171
woa_K7,"17,52,83,130,153,182,217",6.003113145400477,8.5467,50,7,27.37141655285347,0.8286408603457966,0.40702458605117914
mfwoa_K8,"23,48,73,98,131,150,179,216",6.666845419565945,1.5102,75,8,29.547652351896897,0.8965731096768031,0.4107757747620012
woa_K8,"17,36,59,84,129,150,183,216",6.676790728010319,6.0464,30,8,27.95552309735951,0.8485108863375836,0.40702458605117914
mfwoa_K9,"15,36,63,88,129,150,180,209,234",7.357982087377333,1.5102,75,9,28.952466467156253,0.8702906763085132,0.4055729618025465
woa_K9,"29,46,71,100,121,150,180,201,234",7.316770557285246,5.8623,30,9,30.568050920337413,0.9150282868476659,0.4143496841639283
mfwoa_K10,"15,46,71,96,131,152,177,198,215,236",8.024339584867015,1.5102,75,10,30.072776030993804,0.8980504014340955,0.4055729618025465
woa_K10,"13,34,52,79,90,131,152,177,204,235",7.984550353210095,6.1422,30,10,29.269666203490647,0.875350945558805,0.40431293715007227
