algo,thresholds,fe,time,psnr,ssim,dice
mfwoa,"15,54",2.9184759687795183,3.0094,15.375512307179335,0.36782606575100585,0.4055729618025465
woa,"31,58",2.914347049806362,2.5552,15.524805516305545,0.38726490586208034,0.41540352314625156
mfwoa,"23,76,214",3.5742964328674227,2.4767,20.134532940925784,0.5690104360101426,0.4107757747620012
woa,"57,76,214",3.546565767632775,2.6962,20.024218848734286,0.5665230843350683,0.4383916990920882
mfwoa,"11,34,141,212",4.202536496912358,2.615,21.097813871266457,0.5469422615470447,0.4029272492466638
woa,"36,137,179,238",4.240343999029838,2.8145,21.565732462773823,0.5780469009957173,0.4181371454098727
mfwoa,"35,76,137,166,213",4.88427063739194,2.1445,25.316663599509273,0.7340124601646237,0.4175703500343171
woa,"15,40,137,180,237",4.912690883512695,2.2449,21.883506351880012,0.5946409943199495,0.4055729618025465
mfwoa,"15,47,124,151,180,216",5.588370059564384,1.51,23.724176841814888,0.7285938819009872,0.4055729618025465
woa,"21,46,121,156,199,236",5.580277122816071,1.6401,24.012804991530952,0.7451168357119984,0.40961421934962633
