algo,thresholds,fe,time,psnr,ssim,dice
mfwoa,"19,54",2.91700721548025,3.2983,15.380754219972768,0.36831990215777594,0.40821940786714755
woa,"21,54",2.9162949769445974,2.5449,15.382580788719247,0.36808967497379863,0.40961421934962633
mfwoa,"31,76,215",3.5750307415360454,2.4403,20.091885536756383,0.5693832558681762,0.41540352314625156
woa,"31,76,214",3.575327703295781,2.7206,20.197258291125372,0.571257587566605,0.41540352314625156
mfwoa,"31,82,199,220",4.217542129551917,2.5968,21.932031667883205,0.6457218438078358,0.41540352314625156
woa,"35,138,179,238",4.2446993635664185,2.8906,21.46806693977912,0.5693816691186591,0.4175703500343171
mfwoa,"31,68,85,188,237",4.879536490268948,2.1671,23.370920225425586,0.7025594045694246,0.41540352314625156
woa,"23,76,137,180,216",4.8864994903109515,2.3099,25.08142517750173,0.7316096082595583,0.4107757747620012
mfwoa,"15,48,79,138,164,213",5.5748153092251505,1.475,25.86263916099158,0.7603186992932377,0.4055729618025465
woa,"31,78,137,166,201,218",5.577603023455014,1.7076,25.643422347186508,0.7472768154099991,0.41540352314625156
