algo,thresholds,fe,time,psnr,ssim,dice
otsu_K2,"77,161",2.71629581666604,0.0233,21.526677540079113,0.6106297259412801,0.4860104247798215
mfwoa_K2,"15,54",2.9184759687795183,2.8358,15.375512307179335,0.36782606575100585,0.4055729618025465
woa_K2,"15,54",2.9184759687795183,3.5346,15.375512307179335,0.36782606575100585,0.4055729618025465
otsu_K3,"53,102,169",3.4412993777579386,0.0815,23.94419672561364,0.7682479847525429,0.43277079295075843
mfwoa_K3,"31,76,214",3.575327703295781,3.3657,20.197258291125372,0.571257587566605,0.41540352314625156
woa_K3,"25,142,213",3.5390726701695363,2.8318,20.540605626159678,0.5185409758631775,0.41209042418084835
otsu_K4,"43,87,121,179",4.05425876812382,3.8304,25.776588240105383,0.8270634973003643,0.42304349337690783
mfwoa_K4,"46,77,205,220",4.2088308254892715,2.201,21.13421953844111,0.599039276727817,0.42526124488868694
woa_K4,"31,138,179,238",4.248888639528646,2.341,21.27063056200428,0.5615320745580612,0.41540352314625156
otsu_K5,"40,81,111,149,201",4.782168666171885,237.8259,27.451783671772517,0.858381218223585,0.42065234300727705
mfwoa_K5,"31,138,169,188,215",4.911672912328298,3.7026,21.410459301614992,0.5664885165354167,0.41540352314625156
woa_K5,"7,30,139,183,216",4.904832062317483,3.4911,21.293127144880323,0.562161794170497,0.4002631578947368
