algo,thresholds,fe,time,psnr,ssim,dice
otsu_K2,"77,161",2.71629581666604,0.0291,21.526677540079113,0.6106297259412801,0.4860104247798215
mfwoa_K2,"15,54",2.9184759687795183,2.6635,15.375512307179335,0.36782606575100585,0.4055729618025465
woa_K2,"15,54",2.9184759687795183,2.5812,15.375512307179335,0.36782606575100585,0.4055729618025465
otsu_K3,"53,102,169",3.4412993777579386,0.0674,23.94419672561364,0.7682479847525429,0.43277079295075843
mfwoa_K3,"13,34,59",3.5450893917621715,2.4947,15.57523381978054,0.39998159364101843,0.40431293715007227
woa_K3,"39,76,214",3.5689004200022727,2.7148,20.21034924900119,0.5720372480838393,0.4199120006901907
otsu_K4,"43,87,121,179",4.05425876812382,3.7824,25.776588240105383,0.8270634973003643,0.42304349337690783
mfwoa_K4,"36,77,207,234",4.226026568869272,2.5352,21.011988383370046,0.5965384444166304,0.4181371454098727
woa_K4,"31,78,205,234",4.230641470950759,2.5009,21.24318104115271,0.607027098335367,0.41540352314625156
otsu_K5,"40,81,111,149,201",4.782168666171885,226.2755,27.451783671772517,0.858381218223585,0.42065234300727705
mfwoa_K5,"15,36,137,180,237",4.916145650046367,3.1283,21.65585965296326,0.5856207319790139,0.4055729618025465
woa_K5,"37,136,165,197,236",4.91989555704614,4.0591,21.85239526297859,0.5933451113644393,0.4186262535909036
