algo,thresholds,fe,time,psnr,ssim,dice
otsu_K2,"49,96",2.407621133939494,0.0673,26.604052981354478,0.6466225536770129,0.05567187450281605
mfwoa_K2,"49,214",2.9723032485547773,5.5021,24.890979564959164,0.5570460781657488,0.05567187450281605
woa_K2,"254,254",-1000000.0,4.9521,15.970489251753623,0.34621855684902964,0.0009140767824497258
otsu_K3,"18,58,99",2.9695027638711804,0.0908,28.63521910558613,0.725251663538068,0.04401465142489132
mfwoa_K3,"29,56,197",3.720798801931064,5.2019,26.04365058728163,0.6168040872268892,0.05022015810049772
woa_K3,"254,254,254",-1000000.0,3.6221,15.970489251753623,0.34621855684902964,0.0009140767824497258
otsu_K4,"18,55,90,117",3.8005699077343764,4.7507,30.56618550424906,0.7918182834832457,0.04401465142489132
mfwoa_K4,"59,180,205,229",4.335065586282012,3.9926,25.128132865297506,0.557395244455565,0.05665839804661947
woa_K4,"9,201,254,254",-1000000.0,3.3635,18.3717284361881,0.4191436444624664,0.03972066582515279
otsu_K5,"18,55,88,107,142",4.488185278301298,241.6668,31.60019268726502,0.8123018128278993,0.04401465142489132
mfwoa_K5,"17,62,171,200,228",5.118071772094001,2.8374,26.79733234014774,0.656626341969904,0.043501827494467786
woa_K5,"61,85,181,250,251",-1000000.0,2.5105,26.28262455348915,0.64892746849562,0.05684099725151556
