algo,thresholds,fe,time,psnr,ssim,dice
mfwoa,"15,54",2.9184759687795183,3.2512,15.375512307179335,0.36782606575100585,0.4055729618025465
woa,"19,54",2.91700721548025,2.8791,15.380754219972768,0.36831990215777594,0.40821940786714755
mfwoa,"29,68,242",3.551215898572212,2.5779,16.892230680269137,0.46941814364636125,0.4143496841639283
woa,"33,76,214",3.574996669656213,2.7096,20.205095534735268,0.5715959049699638,0.41654114747364096
mfwoa,"15,48,77,214",4.2391396839657745,2.7597,20.36551913259384,0.5939751007463918,0.4055729618025465
woa,"31,138,165,214",4.2425049843293205,2.9202,21.3355843040576,0.56197508659932,0.41540352314625156
mfwoa,"30,59,106,169,214",4.870666792782093,2.1413,25.8638709830351,0.8147540736844119,0.41494313628535867
woa,"13,36,137,180,216",4.9161640471374195,2.5213,21.72906739137825,0.5883484177458391,0.40431293715007227
mfwoa,"21,46,77,136,165,214",5.583597055093362,1.532,25.81223742579538,0.7575909357800548,0.40961421934962633
woa,"22,55,82,139,183,216",5.580624242491961,1.6419,26.228779801281753,0.7789471404646039,0.4102149178255373
