algo,thresholds,fe,time,opt_iters,K,psnr,ssim,dice
mfwoa_K2,"31,58",2.6613999748491084,1.4782,0,0,15.254310053357806,0.38154816451308066,0.41540352314625156
woa_K2,"31,58",2.6613999748491084,9.7542,75,2,15.254310053357806,0.38154816451308066,0.41540352314625156
mfwoa_K3,"23,46,67",3.2633513819583904,1.4782,0,0,15.590079160327159,0.4506456404209106,0.4107757747620012
woa_K3,"37,76,214",3.3196848959111716,10.3682,75,3,20.042910039244642,0.5668289891150179,0.4186262535909036
mfwoa_K4,"47,84,199,232",3.9395008320668143,1.4782,0,0,21.98986099425017,0.6581162062896533,0.426110099453705
woa_K4,"31,138,179,216",3.992585779832893,10.9308,75,4,21.269709895223503,0.5603357419222508,0.41540352314625156
mfwoa_K5,"31,80,137,180,216",4.6313069002211975,1.4782,0,0,25.52629056701217,0.7522205001330541,0.41540352314625156
woa_K5,"35,138,165,188,217",4.645742714247916,11.4156,75,5,21.523663883752896,0.5699321429971261,0.4175703500343171
mfwoa_K6,"31,78,133,166,201,230",5.305865221285873,1.4782,0,0,26.020205317052564,0.7691474336044934,0.41540352314625156
woa_K6,"21,46,133,166,197,236",5.308616168777394,8.1342,50,6,22.735489499690253,0.6464016269181833,0.40961421934962633
mfwoa_K7,"30,59,106,139,164,189,216",5.979876317419634,1.4782,0,0,27.38206414070389,0.8528658046567714,0.41494313628535867
woa_K7,"31,61,90,129,152,187,216",5.996797128769667,8.9054,50,7,28.26580682753577,0.8620582563851601,0.41540352314625156
mfwoa_K8,"31,62,91,122,153,178,213,236",6.661539947815618,1.4782,0,0,29.45965216889055,0.8920279935095912,0.41540352314625156
woa_K8,"32,59,84,131,152,182,213,236",6.674035621927759,5.5891,30,8,27.819806150836627,0.8346859384383584,0.41601422270846866
mfwoa_K9,"19,37,58,85,130,155,174,201,224",7.33909009425782,1.4782,0,0,28.219993468739748,0.8496037071212077,0.40821940786714755
woa_K9,"23,46,69,96,131,154,177,203,228",7.34445432699936,5.7508,30,9,29.75173326446662,0.8922766238323443,0.4107757747620012
mfwoa_K10,"19,36,59,86,129,154,173,196,219,236",8.013846397879803,1.4782,0,0,28.72241890344568,0.8622173097980483,0.40821940786714755
woa_K10,"23,46,69,84,129,150,173,196,215,236",8.028533657175545,5.9673,30,10,28.599275537688918,0.8570293295658892,0.4107757747620012
