algo,thresholds,fe,time,opt_iters,K,psnr,ssim,dice
otsu_K2,"78,135",2.525102480867827,0.0211,75,2,24.06829669830956,0.6759829964119888,0.5211447172114472
mfwoa_K2,"153,206",3.015527725615534,11.3736,75,2,17.68188913037839,0.5433543849526064,0.6794968726372946
woa_K2,"214,231",-1000000.0,9.0302,75,2,15.293187018773766,0.48284989851932614,0.003809787690922315
otsu_K3,"63,102,146",3.431380980667632,0.0499,75,3,26.742540039377264,0.7365544597831146,0.4683397730458418
mfwoa_K3,"50,79,214",3.731362512709471,9.3563,75,3,20.236381746507888,0.691150952736737,0.43895751778343056
woa_K3,"37,247,248",-1000000.0,8.1029,75,3,16.427808635667127,0.4854263016758702,0.39411251859069696
otsu_K4,"57,90,120,155",4.241842827036905,3.4466,75,4,28.84466066589182,0.7746618856335411,0.45430074684217786
mfwoa_K4,"22,85,204,226",4.456007052732712,8.7324,75,4,20.038603219328216,0.6355980913567932,0.3605844576312011
woa_K4,"69,183,201,243",-1000000.0,9.5343,75,4,20.715858203438554,0.6368045011213861,0.48819451208924314
otsu_K5,"53,80,104,128,160",4.990194559845354,144.0522,75,5,30.388521359644795,0.8137920212983825,0.44570407804229223
mfwoa_K5,"22,83,102,153,206",5.196829226990137,11.2133,75,5,25.16429930173105,0.7153343259715077,0.3605844576312011
woa_K5,"12,86,105,121,220",-1000000.0,11.3352,75,5,23.383045055183032,0.6875810539759054,0.3604739523233233
